functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
아프리카망고 종자추출물(IGOB131),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
액상 다래추출물(기능성원료인정제2009-58호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
액상다래추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
양춘사추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
에키네시아추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
연어이리추출물(DOTTM연어핵산),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
연어코연골추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
연어펩타이드,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
영지버섯균사체추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오가피열매50%주정추출물건조엑스,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오메가-3 지방산 함유 유지,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오메가-3 지방산 함유 유지(기능성원료인정제2014-36호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오메가-3 지방산 함유유지,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오미자·두충·구기자추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오미자박추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오미자추출대두복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
오미자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
옥수수배아추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
옥수수배아추출물(기능성원료인정제2014-8호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
옥수수수염.레몬밤추출복합물(CL-5MoA),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
옥수수수염추출물등 복합물 (CL-5MoA),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
옻나무 추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
와사비잎추출물(NCWL01),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
와일드망고 종자추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
우뭇가사리추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
우슬 등 복합물(HL-Joint100),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유니벡스대나무잎추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유단백가수분해물(락티움),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유단백가수분해물(락티움)(기능성원료인정제2020-2호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유단백추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유단백추출물(기능성원료인정제2015-16호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
유비퀴놀(Ubiquinol),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
